Date,Open,High,Low,Close,Adj Close,Volume
22-10-15,57.07,58.200001,55.700001,56.75,53.604126,4545100
23-10-15,57.77,58,56.27,56.380001,53.254635,1967600
26-10-15,57,57,54.540001,55.02,51.970028,1466300
27-10-15,54.799999,54.990002,49.360001,53.849998,50.86488,5949200
28-10-15,54.02,54.16,50.099998,51.869999,48.994644,2411300
29-10-15,51.869999,52.470001,50.757,51.02,48.191765,1362800
30-10-15,51.560001,51.799999,49.66,50.43,47.634468,1355100
02-11-15,50.860001,53.169998,49.889999,53.080002,50.137573,890200
03-11-15,53.09,55,52.119999,52.380001,49.476379,1022400
04-11-15,52.959999,54.040001,52.75,53.439999,50.477608,753300
05-11-15,53.450001,53.849998,51.610001,51.740002,48.871853,820200
06-11-15,52.200001,52.43,51.799999,52.43,49.523602,513500
09-11-15,52.82,53.650002,52,53.200001,50.250923,442800
10-11-15,53.700001,54,53.09,54,51.006573,376800
11-11-15,54,54.5,53.029999,54.34,51.327724,471500
12-11-15,54.330002,54.400002,53.259998,54.119999,51.119919,379300
13-11-15,53.950001,53.950001,50.52,51.400002,48.550701,1337000
16-11-15,51.950001,51.950001,48.830002,49.509998,46.765469,1297500
17-11-15,50.279999,50.77,48.810001,48.98,46.264851,897300
18-11-15,49.389999,49.473999,47.209999,47.279999,44.659084,1102000
19-11-15,47.459999,47.860001,45.830002,47.599998,44.961342,2163800
20-11-15,47.869999,48.490002,47.619999,48.080002,45.414742,542500
23-11-15,48.099998,48.290001,45.98,46,43.450043,1389000
24-11-15,46,46.459999,44.650002,46.279999,43.71452,1036600
25-11-15,46.5,46.830002,45.5,45.66,43.128887,868900
27-11-15,45.59,46.419998,45.400002,46.060001,43.506714,285300
30-11-15,46.299999,46.869999,45.880001,46.349998,43.78064,566400
01-12-15,46.5,48.259998,46.439999,47.639999,44.99913,667100
02-12-15,47.880001,48.127998,46.849998,47.209999,44.59296,614800
03-12-15,47.439999,47.860001,46.25,47.060001,44.451283,528500
04-12-15,47.34,48.849998,47.09,48.549999,45.858685,583200
07-12-15,48.650002,50.389999,47.509998,47.990002,45.329731,861400
08-12-15,48.490002,49,47,47.619999,44.980236,842500
09-12-15,47.439999,49.439999,47.139999,47.75,45.103031,507600
10-12-15,48.07,49.360001,47.880001,48.98,46.264851,526800
11-12-15,48.009998,49.220001,47.594002,48.790001,46.085384,480300
14-12-15,48.049999,48.700001,46,46.93,44.328487,699400
15-12-15,46.93,49.09,46.900002,47.549999,44.914116,760700
16-12-15,48.32,48.970001,47.290001,48.5,45.811459,534500
17-12-15,48.650002,48.990002,47.02,47.48,44.848,547100
18-12-15,46.959999,47.48,46,46.360001,43.790085,461200
21-12-15,46.25,47.799999,46.09,47.41,44.781883,623100
22-12-15,47.48,48.73,46.560001,46.619999,44.035671,448500
23-12-15,47.040001,47.990002,46.810001,47.049999,44.441837,232200
24-12-15,46.619999,47.509998,46.610001,46.75,44.158466,150600
28-12-15,47.290001,47.5,46.275002,46.43,43.856209,269300
29-12-15,46.84,48.139999,46.705002,47.93,45.273052,505500
30-12-15,47.93,48.549999,47.5,48.41,45.726444,297000
31-12-15,48.259998,48.884998,47.43,48,45.33918,390400
04-01-16,47.290001,47.810001,46.41,47.389999,44.762989,2507000
05-01-16,48.599998,48.73,47.450001,48.490002,45.802017,1934400
06-01-16,47.75,47.860001,46.580002,47.07,44.460728,2554900
07-01-16,46.419998,47.080002,46.16,46.650002,44.064014,1775300
08-01-16,46.599998,46.630001,43.110001,43.110001,40.720249,5116900
11-01-16,43.200001,43.860001,42.099998,43.380001,40.975281,2307700
12-01-16,43.950001,44.09,42.860001,43.66,41.239758,1933800
13-01-16,43.43,43.580002,42.200001,42.669998,40.304634,1440600
14-01-16,42.470001,42.560001,40.57,41.990002,39.662334,3631200
15-01-16,40.470001,40.740002,39.66,40.02,37.801533,1878300
19-01-16,40.689999,42.299999,40.560001,41.669998,39.360069,1396800
20-01-16,40.98,40.98,38.360001,39.900002,37.688194,2620700
21-01-16,40.279999,40.869999,39.610001,40.540001,38.292709,1573200
22-01-16,41.209999,41.994999,41.029999,41.849998,39.53009,1243900
25-01-16,41.470001,41.610001,39.73,40.240002,38.009342,1388300
26-01-16,40.279999,42.310001,40.23,41.450001,39.152264,967500
27-01-16,41.310001,41.810001,40.494999,40.610001,38.358833,1124900
28-01-16,40.82,40.900002,39.16,39.959999,37.744862,1155000
29-01-16,39.48,40.060001,38.950001,39.77,37.565395,1480200
01-02-16,38.919998,40.049999,38.849998,39.93,37.716526,1185500
02-02-16,39.84,40,34.030998,34.98,33.040924,7485100
03-02-16,37.240002,37.57,35.349998,37.09,35.033955,4631600
04-02-16,36.25,39.470001,36,38.880001,36.724735,1902700
05-02-16,38.73,38.740002,37.185001,37.700001,35.610149,861400
08-02-16,37.040001,37.139999,34.860001,35.950001,33.957153,1537800
09-02-16,34.439999,35.389999,33.596001,33.959999,32.077461,1653300
10-02-16,35.029999,35.080002,33.080002,33.27,31.425714,1481800
11-02-16,32.290001,32.48,31.66,32,30.226114,1447600
12-02-16,32.34,34.330002,32.169998,34.150002,32.256935,1950300
16-02-16,34.619999,35.799999,34.111,35.650002,33.673786,1263500
17-02-16,36.380001,39.330002,36.360001,39.099998,36.932537,1762400
18-02-16,38.759998,38.900002,38.040001,38.759998,36.611382,1327800
19-02-16,37.900002,38.77,37.68,38.509998,36.37524,507400
22-02-16,39.419998,40.150002,39.25,39.939999,37.725967,1045500
23-02-16,39.25,39.449001,38.68,38.939999,36.781403,578100
24-02-16,37.259998,38.650002,37.169998,38.57,36.431915,583100
25-02-16,38.209999,38.790001,37.919998,38.700001,36.554707,376300
26-02-16,38.77,38.860001,38.259998,38.459999,36.328018,381000
29-02-16,38.490002,38.73,37.970001,37.98,35.874622,493800
01-03-16,38.779999,39.490002,38.424999,39.490002,37.300915,678100
02-03-16,39.07,39.580002,38.919998,39.540001,37.348145,338800
03-03-16,39.099998,39.630001,39.009998,39.400002,37.2159,386700
04-03-16,39.240002,39.93,38.991001,39.740002,37.53706,404700
07-03-16,39.110001,40.750999,39.110001,40.599998,38.34938,971600
08-03-16,41.93,42.040001,41.009998,41.220001,38.935013,944000
09-03-16,41.720001,42.360001,41.400002,42.029999,39.700111,483500
10-03-16,41.98,42.105,40.849998,41.57,39.265614,643100
11-03-16,42.09,42.919998,42.009998,42.77,40.399097,564000
14-03-16,42.57,42.810001,41.945,42.040001,39.70956,724300
15-03-16,41.459999,41.799999,41.099998,41.41,39.114483,307900
16-03-16,41.110001,42.580002,41.099998,42.259998,39.91737,494800
17-03-16,42.490002,43,42.16,42.709999,40.342419,271500
18-03-16,42.73,43.060001,42.400002,42.400002,40.049599,491800
21-03-16,42.380001,42.5,41.970001,42.040001,39.70956,338600
22-03-16,41.639999,42,41.5,41.66,39.350628,271100
23-03-16,41.66,41.66,40.68,40.68,38.42495,225900
24-03-16,40.23,41.200001,40.150002,41.150002,38.8689,218400
28-03-16,41.040001,41.490002,40.529999,41.099998,38.821659,205700
29-03-16,40.869999,41.549999,40.720001,41.52,39.218384,312400
30-03-16,42.099998,42.5,41.919998,42.310001,39.964596,463400
31-03-16,41.59,41.860001,41.310001,41.700001,39.388409,344300
01-04-16,40.73,41.18,40.66,41.049999,38.774437,425400
04-04-16,41.240002,41.709999,41.029999,41.150002,38.8689,1250100
05-04-16,40.209999,40.57,40.049999,40.25,38.018784,392100
06-04-16,40.189999,41.709999,40.110001,41.389999,39.095589,619200
07-04-16,40.880001,41.189999,40.380001,40.650002,38.396614,640500
08-04-16,41.259998,41.419998,40.830002,41.130001,38.850006,503600
11-04-16,41.169998,41.869999,41.084999,41.380001,39.086147,497100
12-04-16,41.240002,41.417,40.75,41.34,39.04837,333500
13-04-16,41.939999,42.009998,41.619999,41.950001,39.62455,362700
14-04-16,42.060001,42.93,41.720001,42.48,40.125172,466400
15-04-16,43.310001,44,43.049999,43.970001,41.53257,674600
18-04-16,43.830002,44.189999,43.66,43.919998,41.48534,307300
19-04-16,44.439999,44.869999,44.439999,44.77,42.288227,514700
20-04-16,44.66,44.790001,44.360001,44.5,42.033195,589200
21-04-16,44.59,44.59,43.575001,43.619999,41.201977,495600
22-04-16,43.5,43.549999,42.830002,42.98,40.597454,378800
25-04-16,43.240002,43.299999,42.77,42.959999,40.57856,211600
26-04-16,43.740002,44.165001,43.540001,44.060001,41.617584,491500
27-04-16,43.82,44.16,43.720001,43.959999,41.523121,377700
28-04-16,44.060001,45.490002,43.950001,45,42.505478,1041900
29-04-16,45.369999,46.119999,44.880001,45.849998,43.308357,1267300
02-05-16,46.5,46.549999,43.549999,44.529999,42.061527,1323200
03-05-16,43.849998,44.094002,43.650002,43.950001,41.513683,450600
04-05-16,44.130001,44.610001,43.889999,43.93,41.494789,614400
05-05-16,43.790001,43.790001,42.57,42.93,40.550224,682100
06-05-16,43.040001,43.689999,42.919998,43.23,40.833595,472200
09-05-16,43.09,43.16,42.73,42.919998,40.540779,299400
10-05-16,43.18,43.525002,43.169998,43.43,41.022511,501100
11-05-16,43.18,43.630001,43.09,43.16,40.767471,382700
